,date,spot_volume_daily_sum,spot_selling_volume_sum,spot_buying_volume_sum,AGG_Volume
639,2020-12-28 00:00:00+00:00,4522380882.218461,2319484275.909774,2202896606.3086877,593756744.8768616
640,2020-12-29 00:00:00+00:00,4588054312.695925,2282042026.880795,2306012285.8151298,500886142.7295685
641,2020-12-30 00:00:00+00:00,6693892946.693427,3273133811.9342217,3420759134.7592053,596032877.6435852
642,2020-12-31 00:00:00+00:00,6355432850.470888,3176449107.249568,3178983743.22132,455068800.0
643,2021-01-01 00:00:00+00:00,3945502604.228356,1967531117.7282817,1977971486.5000741,
644,2021-01-02 00:00:00+00:00,10505919372.803392,5039662979.505685,5466256393.297708,
645,2021-01-03 00:00:00+00:00,9921590120.862162,4946852998.407891,4974737122.45427,
646,2021-01-04 00:00:00+00:00,12278494986.159422,6236148303.7970085,6042346682.362412,800448465.7806396
647,2021-01-05 00:00:00+00:00,10042718630.237803,4857652844.538797,5185065785.699004,757814887.0658875
648,2021-01-06 00:00:00+00:00,12129885592.41616,5921486472.2876835,6208399120.128478,1779292409.3605042
649,2021-01-07 00:00:00+00:00,14461107331.548344,6988452361.860153,7472654969.68819,1466889960.8184814
650,2021-01-08 00:00:00+00:00,15682080541.926111,7833422708.837056,7848657833.089056,1027243551.6555786
651,2021-01-09 00:00:00+00:00,7862695549.219863,3946772356.826259,3915923192.3936043,
652,2021-01-10 00:00:00+00:00,12499540449.932947,6598153568.424578,5901386881.50837,
653,2021-01-11 00:00:00+00:00,25596177189.345726,13270658385.613163,12325518803.732565,1487543920.690155
654,2021-01-12 00:00:00+00:00,13910476363.231586,7054792829.220912,6855683534.010674,625810218.5577393
655,2021-01-13 00:00:00+00:00,12060454827.825733,5803353508.387846,6257101319.437887,499355441.116333
656,2021-01-14 00:00:00+00:00,10590260991.584875,5303227408.786028,5287033582.798847,568223192.0654297
657,2021-01-15 00:00:00+00:00,11817505953.447283,5999391173.025855,5818114780.421428,710441062.7555847
658,2021-01-16 00:00:00+00:00,8162213787.704673,4160235030.0718837,4001978757.6327896,
659,2021-01-17 00:00:00+00:00,7246065484.943117,3676745849.5711074,3569319635.37201,
660,2021-01-18 00:00:00+00:00,6517258919.740477,3236531339.413345,3280727580.327132,
661,2021-01-19 00:00:00+00:00,7596681168.930108,3871801321.8207765,3724879847.1093316,566052907.5393677
662,2021-01-20 00:00:00+00:00,9078567918.587925,4658639836.799899,4419928081.788026,679557765.6669617
663,2021-01-21 00:00:00+00:00,14027645138.370726,7393985911.16644,6633659227.204286,914695028.7033081
664,2021-01-22 00:00:00+00:00,10904643907.023472,5477181356.082125,5427462550.941346,589828798.0625153
665,2021-01-23 00:00:00+00:00,5280466839.259299,2660044207.040557,2620422632.218742,
666,2021-01-24 00:00:00+00:00,4721410383.244135,2391968132.368698,2329442250.875437,
667,2021-01-25 00:00:00+00:00,7863397298.096844,3901501703.321579,3961895594.7752647,408193930.5770874
