,date,blk,age_days,age_sply,CapMrktCurUSD,CapRealUSD,PriceUSD,PriceRealUSD,DailyIssuedNtv,DailyIssuedUSD,AdrActCnt,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValNtv,TxTfrValUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,FeeTotNtv,FeeTotUSD,S2F,inf_pct_ann,SplyCur,DiffMean,notes,PoW_income_btc,PoW_income_usd,AdrDens
983,2011-09-13 00:00:00+00:00,145236.0,983.0,0.3457952376190471,42136183.22279058,44419642.36173398,5.80252327703098,6.116975697550684,7100.0,41197.91526691996,14959.0,6434.0,14291.0,144345.74828312,837569.5643532585,357509.24022156,2074455.6881392621,25.0163907509314,145.15818963958196,1.0,5.80252327703098,4.20222359,24.38350019626369,2.802122319120197,0.3568723582038265,7261699.98999999,1764396.46269031,,7100.0,41197.91526691996,9.649424980488
984,2011-09-14 00:00:00+00:00,145382.0,984.0,0.34614285666666617,40687737.58734764,44407917.77047594,5.59743261016949,6.1092196769250515,7300.0,40861.258054237274,15192.0,6165.0,14474.0,128249.09053348,717865.6415766802,296795.10860011,1661290.6194170509,20.5053964764481,114.77757492172515,1.0,5.59743261016949,3.89359069,21.794111498858324,2.7280915706511504,0.36655661076703394,7268999.98999999,1755425.32032871,,7300.0,40861.258054237274,8.441883263130595
985,2011-09-15 00:00:00+00:00,145538.0,985.0,0.34651428523809474,35421680.879255086,44343820.98311007,4.86775518468732,6.093862830371696,7800.0,37968.4904405611,15482.0,6240.0,13969.0,134086.74266193,652701.4367904442,292721.51541742,1424896.6743426754,20.9550802074179,102.00420032519712,1.03056972,5.01656109771176,7.25705885,35.3255858426685,2.5559536318932174,0.39124340423159054,7276799.98999999,1755425.32032871,,7800.0,37968.4904405611,8.660815312099858
986,2011-09-16 00:00:00+00:00,145657.0,986.0,0.3467976185714281,35184189.43579407,44279628.08533298,4.83116810052601,6.0800697739361835,5950.0,28745.450198129758,14476.0,6142.0,13807.0,221896.80517423,1072020.766766375,682239.93898048,3296015.8301073066,49.4126123691229,238.7206366413635,1.0,4.83116810052601,4.95936812,23.95954106010965,3.353401630021867,0.2982046621100614,7282749.98999999,1755425.3203287,,5950.0,28745.450198129758,15.328599417949018
987,2011-09-17 00:00:00+00:00,145791.0,987.0,0.3471166661904757,34809205.82649197,44273141.64374046,4.775285635301,6.073591519864522,6700.0,31994.413756516697,12903.0,5264.0,11821.0,113069.6969349,539940.0995610654,329406.86176829,1573011.8551716974,27.8662432762279,133.06927122677416,1.01593589,4.851384061903737,5.21074605,24.882800761766426,2.980760576569205,0.3354848449958298,7289449.98999999,1755425.32032871,,6700.0,31994.413756516697,8.763054865914903
988,2011-09-18 00:00:00+00:00,145949.0,988.0,0.3474928566666662,38214268.23795452,44312403.62632339,5.23673227819988,6.072396649064032,7900.0,41370.184997779055,14196.0,5862.0,14160.0,116932.67664937,612345.1221860653,292985.70108236,1534287.6779090161,20.6910805849124,108.35364956984562,1.0,5.23673227819988,5.4143908,28.35371506914847,2.5307265441303937,0.39514344302403454,7297349.98999999,1755425.32032871,,7900.0,41370.184997779055,8.237015824835868
989,2011-09-19 00:00:00+00:00,146076.0,989.0,0.3477952376190471,40319175.19010538,44303672.90320207,5.52037669199299,6.065921788115798,6350.0,35054.391994155485,16499.0,6676.0,15731.0,122781.84555245,677802.0383876282,324342.29713215,1790491.6573157858,20.6180342719566,113.81931582962187,0.6965,3.8449423659731177,5.88476262,32.4861064053596,3.1512026706935563,0.3173391573001896,7303699.98999999,1755425.32032871,,6350.0,35054.391994155485,7.44177498954179
990,2011-09-20 00:00:00+00:00,146216.0,990.0,0.3481285709523805,44936427.78752296,44337464.7453818,6.14666555172414,6.064735908466935,7000.0,43026.65886206898,21500.0,7890.0,21206.0,162202.12289722,997002.2012288675,342476.83660215,2105090.5738058924,16.1499970103815,99.26863028415981,0.16152556,0.9928435953749507,6.5208347,40.081390018977416,2.861330720156552,0.34948773763044316,7310699.98999999,1755425.32032871,,7000.0,43026.65886206898,7.544284785917209
991,2011-09-21 00:00:00+00:00,146362.0,991.0,0.3484761899999995,40959339.89405964,44333434.80422839,5.59706749795441,6.058135401039874,7300.0,40858.59273506719,18297.0,7670.0,16931.0,158650.90842806,887979.843083636,398314.48859373,2229393.078072299,23.5257509062507,131.6752157623473,0.72058198,4.0331459798696345,5.26628176,29.475734473966146,2.7464815124788853,0.36410221421713934,7317999.98999999,1755425.32032871,,7300.0,40858.59273506719,8.670870002080123
992,2011-09-22 00:00:00+00:00,146510.0,992.0,0.34882857095238046,40106922.254371494,44292894.299095705,5.47504877673875,6.046481333382556,7400.0,40515.36094786675,17486.0,5935.0,16808.0,121533.48032514,665401.7327869607,294311.27545164,1611368.588641923,17.5101901149238,95.8691449691765,0.209977635,1.1496377936492457,3.79354479,20.769842761993157,2.712106623472784,0.3687170671481659,7325399.98999999,1755425.32032871,,7400.0,40515.36094786675,6.950330568748713
993,2011-09-23 00:00:00+00:00,146643.0,993.0,0.34914523761904714,40791283.96421989,44300989.35511399,5.56342141963764,6.042101378950643,6650.0,36996.75244059031,19216.0,6139.0,18924.0,132991.72864337,739889.0317691613,339644.94923266,1889587.9856327195,17.9478413249133,99.85140486328025,0.15,0.834513212945646,4.10038145,22.812149987614845,3.020723036358014,0.3310465699648078,7332049.98999999,1755425.32032871,,6650.0,36996.75244059031,6.920885129234493
994,2011-09-24 00:00:00+00:00,146772.0,994.0,0.34945238047619,40052723.4157995,44314996.88611154,5.45788968731736,6.038699590719983,6450.0,35203.38848319697,19656.0,5621.0,18900.0,106027.26015804,578685.0897910813,222613.37733733,1214999.2564283016,11.7784855734037,64.28567494329636,0.08317364,0.45395255201264667,6.81584932,37.20015371393704,3.117128592970156,0.32080806748083174,7338499.98999999,1755425.32032871,,6450.0,35203.38848319697,5.3941422546825395
995,2011-09-25 00:00:00+00:00,146909.0,995.0,0.34977857095238046,39232651.95435618,44083131.62463515,5.34115488135593,6.001501859632316,6850.0,36586.91093728812,19723.0,5654.0,19602.0,132626.7685572,708380.1122777519,293105.13191066,1565519.9060550954,14.9528176671085,79.86531507270175,0.08,0.4272923905084744,3.3184642,17.7244312604349,2.937846211378858,0.34038541436471476,7345349.98999999,1755425.32032871,,6850.0,36586.91093728812,6.724472370187091
996,2011-09-26 00:00:00+00:00,147043.0,996.0,0.35009761857142807,35832612.99183518,44064680.517752014,4.87382608123904,5.993522973549868,6700.0,32654.634744301566,17623.0,5459.0,16609.0,116523.49654827,567915.2565541256,277187.22363101,1350962.3199190549,16.6889772792468,81.3391727327988,0.2,0.974765216247808,2.92490596,14.255482953019513,3.006358613780409,0.33262831500415346,7352049.98999999,1755425.32032871,,6700.0,32654.634744301566,6.61201251479714
