DATE,BOGMBASEW_CHG
1986-02-19,2077
1986-02-26,0
1986-03-05,2392
1986-03-12,0
1986-03-19,2
1986-03-26,0
1986-04-02,2996
1986-04-09,0
1986-04-16,1996
1986-04-23,0
1986-04-30,-869
1986-05-07,0
1986-05-14,997
1986-05-21,0
1986-05-28,2032
1986-06-04,0
1986-06-11,2819
1986-06-18,0
1986-06-25,-818
1986-07-02,0
1986-07-09,4543
1986-07-16,0
1986-07-23,-2735
1986-07-30,0
1986-08-06,1242
1986-08-13,0
1986-08-20,-324
1986-08-27,0
1986-09-03,2704
1986-09-10,0
1986-09-17,-460
1986-09-24,0
1986-10-01,-194
1986-10-08,0
1986-10-15,2914
1986-10-22,0
1986-10-29,141
1986-11-05,0
1986-11-12,4166
1986-11-19,0
1986-11-26,1703
1986-12-03,0
1986-12-10,2862
1986-12-17,0
1986-12-24,5124
1986-12-31,0
1987-01-07,-511
1987-01-14,0
1987-01-21,-7365
1987-01-28,0
1987-02-04,-1976
1987-02-11,0
1987-02-18,658
1987-02-25,0
1987-03-04,1811
1987-03-11,0
1987-03-18,38
1987-03-25,0
1987-04-01,2175
1987-04-08,0
1987-04-15,4652
1987-04-22,0
1987-04-29,-1405
1987-05-06,0
1987-05-13,437
1987-05-20,0
1987-05-27,1274
1987-06-03,0
1987-06-10,2477
1987-06-17,0
1987-06-24,-2008
1987-07-01,0
1987-07-08,4399
1987-07-15,0
1987-07-22,-2925
1987-07-29,0
1987-08-05,1332
1987-08-12,0
1987-08-19,-775
1987-08-26,0
1987-09-02,1606
1987-09-09,0
1987-09-16,1324
1987-09-23,0
1987-09-30,-1179
1987-10-07,0
1987-10-14,1971
1987-10-21,0
1987-10-28,2589
1987-11-04,0
1987-11-11,1833
1987-11-18,0
1987-11-25,1147
1987-12-02,0
1987-12-09,3021
1987-12-16,0
1987-12-23,1420
1987-12-30,0
1988-01-06,2302
1988-01-13,0
1988-01-20,-5499
1988-01-27,0
1988-02-03,-4567
1988-02-10,0
1988-02-17,847
1988-02-24,0
1988-03-02,1169
1988-03-09,0
1988-03-16,1105
1988-03-23,0
1988-03-30,2403
1988-04-06,0
1988-04-13,4384
1988-04-20,0
1988-04-27,-1653
1988-05-04,0
1988-05-11,732
1988-05-18,0
1988-05-25,-89
1988-06-01,0
1988-06-08,4978
1988-06-15,0
1988-06-22,-1528
1988-06-29,0
1988-07-06,5012
1988-07-13,0
1988-07-20,-2684
1988-07-27,0
1988-08-03,514
1988-08-10,0
1988-08-17,-689
1988-08-24,0
1988-08-31,518
1988-09-07,0
1988-09-14,1172
1988-09-21,0
1988-09-28,-2180
1988-10-05,0
1988-10-12,2190
1988-10-19,0
1988-10-26,-969
1988-11-02,0
1988-11-09,4666
1988-11-16,0
1988-11-23,-848
